sku,name,description,price_usd,category_id,brand_id,image_url,stock_qty,is_latest_SKU_for_product
PHN-001,NeonTech Aurora 5G,Flagship 6.7-inch OLED smartphone,1099.00,1,1,https://cdn.neoncart.local/img/phn-001.jpg,47,
PHN-002,NeonTech Aurora Mini,Compact 5.4-inch 5G phone,899.00,1,1,https://cdn.neoncart.local/img/phn-002.jpg,32,
ELC-001,NeonTech AR Glasses,Augmented reality smart glasses,699.00,1,1,https://cdn.neoncart.local/img/elc-001.jpg,17,
ELC-002,BlueWave eReader Wave,7-inch eink ereader,179.00,1,2,https://cdn.neoncart.local/img/elc-002.jpg,68,
LAP-001,NeonTech Apex 14,14-inch slim laptop,1499.00,2,1,https://cdn.neoncart.local/img/lap-001.jpg,30,
LAP-002,NeonTech Apex 16,16-inch creator laptop,2199.00,2,1,https://cdn.neoncart.local/img/lap-002.jpg,18,
LAP-003,NeonTech Apex Studio,High-end workstation laptop,2999.00,2,1,https://cdn.neoncart.local/img/lap-003.jpg,8,
LAP-004,BlueWave Surf 13,Lightweight ultrabook,1099.00,2,2,https://cdn.neoncart.local/img/lap-004.jpg,42,
PER-001-KBD,NeonTech Glow Keyboard,RGB mechanical keyboard,129.00,3,1,https://cdn.neoncart.local/img/per-001-kbd.jpg,55,
PER-002-KBD,NeonTech Glow Keyboard TKL,Tenkeyless RGB keyboard,119.00,3,1,https://cdn.neoncart.local/img/per-002-kbd.jpg,47,
PER-003-KBD,BlueWave Tactile Keyboard,Tactile-switch mechanical keyboard,99.00,3,2,https://cdn.neoncart.local/img/per-003-kbd.jpg,68,
PER-004-KBD,AstroByte Compact 60,60-percent compact keyboard,89.00,3,3,https://cdn.neoncart.local/img/per-004-kbd.jpg,71,
AUD-001,Echelon Reverb Over-Ear,Over-ear ANC headphones,299.00,4,14,https://cdn.neoncart.local/img/aud-001.jpg,33,
AUD-002,Echelon Reverb Pro,Studio-grade headphones,449.00,4,14,https://cdn.neoncart.local/img/aud-002.jpg,18,
AUD-003,Pulsewave Air Earbuds,True-wireless earbuds,149.00,4,8,https://cdn.neoncart.local/img/aud-003.jpg,87,
AUD-004,Pulsewave Air Pro,Premium ANC earbuds,229.00,4,8,https://cdn.neoncart.local/img/aud-004.jpg,46,
PHN-003,BlueWave Tide Pro,6.5-inch wave-display phone,849.00,5,2,https://cdn.neoncart.local/img/phn-003.jpg,21,
PHN-004,BlueWave Tide Lite,Budget-friendly 5G handset,499.00,5,2,https://cdn.neoncart.local/img/phn-004.jpg,88,
PHN-005,AstroByte Nova X,Astro-imaging triple-camera phone,1199.00,5,3,https://cdn.neoncart.local/img/phn-005.jpg,19,
PHN-006,AstroByte Nova X Plus,Larger 6.9-inch Nova X,1349.00,5,3,https://cdn.neoncart.local/img/phn-006.jpg,12,
WAT-001,NeonTech Pulse Watch,AMOLED smartwatch,299.00,6,1,https://cdn.neoncart.local/img/wat-001.jpg,44,
WAT-002,NeonTech Pulse Watch Sport,Sport edition smartwatch,349.00,6,1,https://cdn.neoncart.local/img/wat-002.jpg,31,
WAT-003,NeonTech Pulse Watch Pro,Titanium premium smartwatch,499.00,6,1,https://cdn.neoncart.local/img/wat-003.jpg,17,
WAT-004,BlueWave Tide Watch,Diver-rated smartwatch,249.00,6,2,https://cdn.neoncart.local/img/wat-004.jpg,38,
ACC-001,Cobaltic 65W USB-C Charger,Compact GaN charger,39.00,7,17,https://cdn.neoncart.local/img/acc-001.jpg,167,
ACC-002,Cobaltic 100W USB-C Charger,Multi-port GaN charger,79.00,7,17,https://cdn.neoncart.local/img/acc-002.jpg,98,
ACC-003,Cobaltic 140W Travel Charger,Travel-ready power brick,129.00,7,17,https://cdn.neoncart.local/img/acc-003.jpg,45,
ACC-004,Magnetar MagSnap Charger,Magnetic wireless charger,49.00,7,16,https://cdn.neoncart.local/img/acc-004.jpg,138,
GAM-001,Nexora Pulse Controller,Wireless gamepad,69.00,8,12,https://cdn.neoncart.local/img/gam-001.jpg,142,
GAM-002,Nexora Pulse Elite Controller,Pro-grade modular controller,179.00,8,12,https://cdn.neoncart.local/img/gam-002.jpg,38,
GAM-003,Nexora Pulse Arcade Stick,Arcade fight stick,229.00,8,12,https://cdn.neoncart.local/img/gam-003.jpg,17,
GAM-004,Nexora Pulse Racing Wheel,Force-feedback racing wheel,399.00,8,12,https://cdn.neoncart.local/img/gam-004.jpg,11,
CAB-001,Cobaltic USB-C to USB-C Cable 1m,100W USB-C cable,19.00,9,17,https://cdn.neoncart.local/img/cab-001.jpg,412,
CAB-002,Cobaltic USB-C to USB-C Cable 2m,2m 100W USB-C cable,24.00,9,17,https://cdn.neoncart.local/img/cab-002.jpg,287,
CAB-003,Cobaltic USB-C to USB-C Cable 3m,3m 100W USB-C cable,29.00,9,17,https://cdn.neoncart.local/img/cab-003.jpg,176,
CAB-004,Cobaltic Thunderbolt 4 Cable,40Gbps TB4 cable 1m,49.00,9,17,https://cdn.neoncart.local/img/cab-004.jpg,98,
SMH-001,NeonTech Smart Speaker,AI assistant smart speaker,149.00,10,1,https://cdn.neoncart.local/img/smh-001.jpg,67,
SMH-002,NeonTech Smart Display,8-inch smart display,229.00,10,1,https://cdn.neoncart.local/img/smh-002.jpg,33,
SMH-003,NeonTech Smart Hub,Whole-home automation hub,179.00,10,1,https://cdn.neoncart.local/img/smh-003.jpg,29,
SMH-004,LumenWorks Smart Bulb 4-Pack,RGB color smart bulbs,49.00,10,4,https://cdn.neoncart.local/img/smh-004.jpg,142,
DSP-001,LumenWorks 27-inch 4K Monitor,27-inch IPS 4K monitor,499.00,11,4,https://cdn.neoncart.local/img/dsp-001.jpg,42,
DSP-002,LumenWorks 32-inch 4K Monitor,32-inch IPS 4K monitor,699.00,11,4,https://cdn.neoncart.local/img/dsp-002.jpg,28,
DSP-003,LumenWorks 32-inch OLED Monitor,OLED 4K creator monitor,1299.00,11,4,https://cdn.neoncart.local/img/dsp-003.jpg,11,
DSP-004,LumenWorks 49-inch Ultrawide,5K ultrawide monitor,1499.00,11,4,https://cdn.neoncart.local/img/dsp-004.jpg,7,
STG-001,Quantix Q-SSD 1TB NVMe,Gen4 NVMe SSD 1TB,129.00,12,7,https://cdn.neoncart.local/img/stg-001.jpg,178,
STG-002,Quantix Q-SSD 2TB NVMe,Gen4 NVMe SSD 2TB,229.00,12,7,https://cdn.neoncart.local/img/stg-002.jpg,98,
STG-003,Quantix Q-SSD 4TB NVMe,Gen4 NVMe SSD 4TB,429.00,12,7,https://cdn.neoncart.local/img/stg-003.jpg,42,
STG-004,Quantix Q-SSD 8TB NVMe,Gen4 NVMe SSD 8TB,849.00,12,7,https://cdn.neoncart.local/img/stg-004.jpg,18,
PER-005-KBD,Synthlex Split Keyboard,Ergonomic split mechanical,179.00,3,6,https://cdn.neoncart.local/img/per-005-kbd.jpg,18,
PER-006-KBD,Korium Edge Keyboard,Low-profile aluminium keyboard,149.00,3,9,https://cdn.neoncart.local/img/per-006-kbd.jpg,33,
